Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
36,4.073000,262144.000000,54527.504931,36652.000000
36,4.639000,32768.000000,153939.160664,108216.000000
36,5.649000,4096.000000,63365.287461,47392.000000
36,7.918000,512.000000,35624.261677,16502.000000
36,16.772000,64.000000,21330.712740,8242.000000
36,30.000000,6.000000,21244.044036,4565.000000
36,30.000000,9.000000,23302.385436,4762.000000
36,30.000000,12.000000,27729.329527,5963.000000
36,30.000000,15.000000,27659.632391,9276.000000
36,30.000000,18.000000,26086.370790,4934.000000
