Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,490847.036937,251772.000000
20,4.639000,32768.000000,1048774.157872,279607.000000
20,5.649000,4096.000000,1872950.393555,294334.000000
20,7.918000,512.000000,3263128.825837,279164.000000
20,16.772000,64.000000,7336512.001852,298708.000000
20,30.000000,6.000000,8356538.292795,295319.000000
20,30.000000,9.000000,8011870.757627,302714.000000
20,30.000000,12.000000,7575914.299776,298193.000000
20,30.000000,15.000000,7337649.034298,301246.000000
20,30.000000,18.000000,7071150.569023,305017.000000
