Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,95017.728846,76795.000000
28,4.639000,32768.000000,115246.820329,85980.000000
28,5.649000,4096.000000,670856.219953,297681.000000
28,7.918000,512.000000,1302452.763283,283849.000000
28,16.772000,64.000000,3496238.923650,292690.000000
28,30.000000,6.000000,4041694.882274,295240.000000
28,30.000000,9.000000,3894121.293887,302444.000000
28,30.000000,12.000000,3862873.161032,306235.000000
28,30.000000,15.000000,3541719.768000,300570.000000
28,30.000000,18.000000,3315485.902291,299053.000000
