Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
34,4.073000,262144.000000,150205.142419,84141.000000
34,4.639000,32768.000000,109469.456749,77776.000000
34,5.649000,4096.000000,98381.994552,48628.000000
34,7.918000,512.000000,76675.137346,49967.000000
34,16.772000,64.000000,39485.466807,9056.000000
34,30.000000,6.000000,46205.542492,11386.000000
34,30.000000,9.000000,31227.293543,7354.000000
34,30.000000,12.000000,36933.439577,7117.000000
34,30.000000,15.000000,77241.594533,29263.000000
34,30.000000,18.000000,40419.632643,9942.000000
