Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
24,4.073000,262144.000000,511241.446284,334108.000000
24,4.639000,32768.000000,372053.190453,195391.000000
24,5.649000,4096.000000,1276512.974480,258125.000000
24,7.918000,512.000000,2388184.825090,296993.000000
24,16.772000,64.000000,5677187.034324,295837.000000
24,30.000000,6.000000,6603297.711987,299450.000000
24,30.000000,9.000000,6242449.132723,300107.000000
24,30.000000,12.000000,5841016.649599,306285.000000
24,30.000000,15.000000,5375967.282561,300574.000000
24,30.000000,18.000000,5641632.768495,303803.000000
