Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
24,4.073000,262144.000000,301843.720392,174223.000000
24,4.639000,32768.000000,547690.665174,282861.000000
24,5.649000,4096.000000,900762.676240,262990.000000
24,7.918000,512.000000,2385872.616515,282270.000000
24,16.772000,64.000000,5611545.226390,300127.000000
24,30.000000,6.000000,6701890.045480,302040.000000
24,30.000000,9.000000,5963346.839457,300247.000000
24,30.000000,12.000000,5840853.594621,302069.000000
24,30.000000,15.000000,5224480.618115,300436.000000
24,30.000000,18.000000,5358622.717288,301457.000000
