Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,337474.035041,216497.000000
22,4.639000,32768.000000,808948.432313,288873.000000
22,5.649000,4096.000000,1494045.735611,297008.000000
22,7.918000,512.000000,2889696.721293,280441.000000
22,16.772000,64.000000,6625231.114154,297466.000000
22,30.000000,6.000000,7739499.821296,301312.000000
22,30.000000,9.000000,7267797.040607,299096.000000
22,30.000000,12.000000,6903156.766917,300955.000000
22,30.000000,15.000000,6616970.113750,294041.000000
22,30.000000,18.000000,6052724.406327,302329.000000
