Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,266552.603549,170249.000000
22,4.639000,32768.000000,762680.725857,255130.000000
22,5.649000,4096.000000,1572812.629192,271954.000000
22,7.918000,512.000000,3051614.516200,291252.000000
22,16.772000,64.000000,6637055.779609,303202.000000
22,30.000000,6.000000,7573609.776614,302098.000000
22,30.000000,9.000000,7042942.096227,300257.000000
22,30.000000,12.000000,6916780.136846,304132.000000
22,30.000000,15.000000,6495014.572351,300241.000000
22,30.000000,18.000000,6370517.228234,301704.000000
