Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
24,4.073000,262144.000000,350014.095532,215771.000000
24,4.639000,32768.000000,402489.193884,213851.000000
24,5.649000,4096.000000,1021199.034777,258263.000000
24,7.918000,512.000000,2520338.020676,288512.000000
24,16.772000,64.000000,5480292.718746,294026.000000
24,30.000000,6.000000,6418965.334573,301441.000000
24,30.000000,9.000000,6478145.533779,298499.000000
24,30.000000,12.000000,5945762.446344,300392.000000
24,30.000000,15.000000,5335816.730435,301952.000000
24,30.000000,18.000000,5557234.135527,301820.000000
