Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,719029.483359,331730.000000
20,4.639000,32768.000000,932366.252669,268788.000000
20,5.649000,4096.000000,1784291.915458,270408.000000
20,7.918000,512.000000,3549477.459303,295687.000000
20,16.772000,64.000000,7345916.452789,299271.000000
20,30.000000,6.000000,8574788.717709,301402.000000
20,30.000000,9.000000,7825786.955688,297134.000000
20,30.000000,12.000000,7400614.358484,300862.000000
20,30.000000,15.000000,7332842.291775,302961.000000
20,30.000000,18.000000,7138523.895904,296997.000000
