Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
32,4.073000,262144.000000,87416.747486,78824.000000
32,4.639000,32768.000000,153271.191197,138761.000000
32,5.649000,4096.000000,129242.729327,98357.000000
32,7.918000,512.000000,93588.394451,34412.000000
32,16.772000,64.000000,98080.782134,30381.000000
32,30.000000,6.000000,101502.142672,23954.000000
32,30.000000,9.000000,122588.242422,46166.000000
32,30.000000,12.000000,176034.174168,53808.000000
32,30.000000,15.000000,142379.636708,49450.000000
32,30.000000,18.000000,98188.066439,25112.000000
