Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,182887.940515,109460.000000
28,4.639000,32768.000000,138394.491303,114991.000000
28,5.649000,4096.000000,304710.146953,184318.000000
28,7.918000,512.000000,1066393.927020,282848.000000
28,16.772000,64.000000,3055519.861083,288220.000000
28,30.000000,6.000000,4081649.849061,304251.000000
28,30.000000,9.000000,3284360.663758,282275.000000
28,30.000000,12.000000,3269506.960062,298984.000000
28,30.000000,15.000000,2935067.231603,292171.000000
28,30.000000,18.000000,3022860.213469,300190.000000
