Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,376177.777763,273125.000000
28,4.639000,32768.000000,268449.310577,208985.000000
28,5.649000,4096.000000,621831.870553,272485.000000
28,7.918000,512.000000,1365224.572755,298713.000000
28,16.772000,64.000000,3325836.220615,295273.000000
28,30.000000,6.000000,4119353.868581,302284.000000
28,30.000000,9.000000,3645982.409919,293650.000000
28,30.000000,12.000000,3659750.296342,298352.000000
28,30.000000,15.000000,3172782.167384,285390.000000
28,30.000000,18.000000,3443292.741958,300637.000000
