Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,712848.348474,264042.000000
20,4.639000,32768.000000,1011769.361219,221179.000000
20,5.649000,4096.000000,1651873.812831,268489.000000
20,7.918000,512.000000,3609457.414116,294908.000000
20,16.772000,64.000000,7235038.534650,299162.000000
20,30.000000,6.000000,8418839.368646,302235.000000
20,30.000000,9.000000,7920913.231741,303369.000000
20,30.000000,12.000000,7790329.396216,300737.000000
20,30.000000,15.000000,7010879.672208,296451.000000
20,30.000000,18.000000,7068391.952397,304120.000000
