Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
32,4.073000,262144.000000,67778.556343,40229.000000
32,4.639000,32768.000000,150805.700645,105989.000000
32,5.649000,4096.000000,153528.845488,110208.000000
32,7.918000,512.000000,111057.681328,34653.000000
32,16.772000,64.000000,59778.823274,11968.000000
32,30.000000,6.000000,87130.335532,22227.000000
32,30.000000,9.000000,93207.619388,24704.000000
32,30.000000,12.000000,74016.909176,19285.000000
32,30.000000,15.000000,88962.811860,23890.000000
32,30.000000,18.000000,120382.855586,37630.000000
