Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,567287.072639,247492.000000
22,4.639000,32768.000000,786783.637181,243477.000000
22,5.649000,4096.000000,1295158.090528,281507.000000
22,7.918000,512.000000,3302120.102725,304190.000000
22,16.772000,64.000000,6593933.352529,301268.000000
22,30.000000,6.000000,7493971.652722,296306.000000
22,30.000000,9.000000,6907966.562348,299511.000000
22,30.000000,12.000000,6719233.656716,297313.000000
22,30.000000,15.000000,6610276.931858,302043.000000
22,30.000000,18.000000,6209493.228138,298339.000000
