Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
38,4.073000,262144.000000,67827.266929,46283.000000
38,4.639000,32768.000000,82689.648052,54323.000000
38,5.649000,4096.000000,49592.389144,25401.000000
38,7.918000,512.000000,23298.592554,6609.000000
38,16.772000,64.000000,17547.682240,2899.000000
38,30.000000,6.000000,15897.953768,2999.000000
38,30.000000,9.000000,19400.832920,3829.000000
38,30.000000,12.000000,24398.083203,9013.000000
38,30.000000,15.000000,17377.746546,4554.000000
38,30.000000,18.000000,19587.779124,4938.000000
