Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,536969.184618,183424.000000
20,4.639000,32768.000000,1005011.313233,243542.000000
20,5.649000,4096.000000,1812797.126689,279991.000000
20,7.918000,512.000000,3566619.062743,301379.000000
20,16.772000,64.000000,7226243.103341,299884.000000
20,30.000000,6.000000,8435546.505715,301797.000000
20,30.000000,9.000000,7992594.472279,298848.000000
20,30.000000,12.000000,7736701.981530,300807.000000
20,30.000000,15.000000,7577890.655275,301495.000000
20,30.000000,18.000000,7191355.332068,304006.000000
