Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
32,4.073000,262144.000000,202764.979538,190859.000000
32,4.639000,32768.000000,122290.419633,92549.000000
32,5.649000,4096.000000,280979.776363,163848.000000
32,7.918000,512.000000,62338.051285,24401.000000
32,16.772000,64.000000,59253.787254,18453.000000
32,30.000000,6.000000,238025.434401,65690.000000
32,30.000000,9.000000,110667.081411,23708.000000
32,30.000000,12.000000,216948.851548,63458.000000
32,30.000000,15.000000,65209.507298,20253.000000
32,30.000000,18.000000,115179.144045,27167.000000
