Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,324142.006261,274511.000000
28,4.639000,32768.000000,145354.454276,100457.000000
28,5.649000,4096.000000,698792.305388,287597.000000
28,7.918000,512.000000,1276301.123216,286530.000000
28,16.772000,64.000000,2804440.816415,297849.000000
28,30.000000,6.000000,3948061.735003,296360.000000
28,30.000000,9.000000,3704161.859035,298150.000000
28,30.000000,12.000000,2898685.705745,295969.000000
28,30.000000,15.000000,4288730.527929,300785.000000
28,30.000000,18.000000,3621831.982531,298912.000000
