Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
34,4.073000,262144.000000,106136.121062,92086.000000
34,4.639000,32768.000000,47174.037192,24018.000000
34,5.649000,4096.000000,78527.470194,31989.000000
34,7.918000,512.000000,44937.892285,16781.000000
34,16.772000,64.000000,49394.301746,15265.000000
34,30.000000,6.000000,40969.088030,6557.000000
34,30.000000,9.000000,45957.679380,9196.000000
34,30.000000,12.000000,35294.855022,10047.000000
34,30.000000,15.000000,90060.947841,40124.000000
34,30.000000,18.000000,38762.439358,9683.000000
