Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,436408.411124,243257.000000
22,4.639000,32768.000000,798766.902047,271649.000000
22,5.649000,4096.000000,1423747.711456,281598.000000
22,7.918000,512.000000,2641950.535566,288731.000000
22,16.772000,64.000000,6490832.535709,293041.000000
22,30.000000,6.000000,7726403.458799,301479.000000
22,30.000000,9.000000,7119381.471443,303314.000000
22,30.000000,12.000000,6712069.739297,299791.000000
22,30.000000,15.000000,6386808.850770,295815.000000
22,30.000000,18.000000,6486704.810868,299739.000000
