Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
30,4.073000,262144.000000,90558.001833,65273.000000
30,4.639000,32768.000000,515125.864170,288281.000000
30,5.649000,4096.000000,251032.831512,130222.000000
30,7.918000,512.000000,662068.123769,268535.000000
30,16.772000,64.000000,614114.948133,137144.000000
30,30.000000,6.000000,1576999.445029,293472.000000
30,30.000000,9.000000,820215.591640,208888.000000
30,30.000000,12.000000,1242392.155203,252355.000000
30,30.000000,15.000000,1628472.934546,266795.000000
30,30.000000,18.000000,845792.822694,172012.000000
