Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
38,4.073000,262144.000000,97021.404917,79393.000000
38,4.639000,32768.000000,71886.079883,53849.000000
38,5.649000,4096.000000,67944.124036,37763.000000
38,7.918000,512.000000,24987.959641,6490.000000
38,16.772000,64.000000,19884.543495,3409.000000
38,30.000000,6.000000,16331.027310,2952.000000
38,30.000000,9.000000,16613.899693,3013.000000
38,30.000000,12.000000,18635.618933,4468.000000
38,30.000000,15.000000,17406.852846,3106.000000
38,30.000000,18.000000,18876.314100,3779.000000
