Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
24,4.073000,262144.000000,378790.021220,255823.000000
24,4.639000,32768.000000,673203.832369,311334.000000
24,5.649000,4096.000000,1098088.219266,298145.000000
24,7.918000,512.000000,2408921.045125,298632.000000
24,16.772000,64.000000,5524126.071618,295451.000000
24,30.000000,6.000000,6627647.157824,299268.000000
24,30.000000,9.000000,6152894.624665,299532.000000
24,30.000000,12.000000,5828597.853011,296691.000000
24,30.000000,15.000000,5861824.368942,298850.000000
24,30.000000,18.000000,5552416.469690,304987.000000
