Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,572850.265485,213224.000000
20,4.639000,32768.000000,1120314.036604,252275.000000
20,5.649000,4096.000000,1552840.981394,257737.000000
20,7.918000,512.000000,3539510.558201,295265.000000
20,16.772000,64.000000,7331639.573445,298942.000000
20,30.000000,6.000000,8437129.201437,299174.000000
20,30.000000,9.000000,8247552.514068,299749.000000
20,30.000000,12.000000,7547849.696663,297912.000000
20,30.000000,15.000000,7220220.101039,300690.000000
20,30.000000,18.000000,7137974.955177,304687.000000
