Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
26,4.073000,262144.000000,567094.049235,363548.000000
26,4.639000,32768.000000,420408.569839,265499.000000
26,5.649000,4096.000000,644236.901478,256356.000000
26,7.918000,512.000000,1738586.633962,297348.000000
26,16.772000,64.000000,4571066.721127,298208.000000
26,30.000000,6.000000,5192898.846215,302777.000000
26,30.000000,9.000000,5396857.634932,300207.000000
26,30.000000,12.000000,4710685.390356,298023.000000
26,30.000000,15.000000,4264082.107122,300228.000000
26,30.000000,18.000000,4757116.497797,303525.000000
