Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
38,4.073000,262144.000000,48798.177343,42924.000000
38,4.639000,32768.000000,84300.011673,61977.000000
38,5.649000,4096.000000,64073.660158,37261.000000
38,7.918000,512.000000,26167.128463,8798.000000
38,16.772000,64.000000,16845.105639,3344.000000
38,30.000000,6.000000,17780.069994,3305.000000
38,30.000000,9.000000,15006.688309,2742.000000
38,30.000000,12.000000,15933.324073,2678.000000
38,30.000000,15.000000,14654.089293,2355.000000
38,30.000000,18.000000,18809.871424,3902.000000
