Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,597846.484631,245820.000000
22,4.639000,32768.000000,839246.561012,276591.000000
22,5.649000,4096.000000,1547225.567869,296468.000000
22,7.918000,512.000000,3112628.511459,285055.000000
22,16.772000,64.000000,6443085.863546,301516.000000
22,30.000000,6.000000,7725175.661936,301157.000000
22,30.000000,9.000000,7193325.241429,301177.000000
22,30.000000,12.000000,6802504.089955,299821.000000
22,30.000000,15.000000,6478787.446322,299735.000000
22,30.000000,18.000000,6229322.183495,303764.000000
