Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
34,4.073000,262144.000000,71763.918845,57182.000000
34,4.639000,32768.000000,39530.199203,19013.000000
34,5.649000,4096.000000,82946.335266,34870.000000
34,7.918000,512.000000,57216.483307,21029.000000
34,16.772000,64.000000,47370.252564,12591.000000
34,30.000000,6.000000,43859.884781,7875.000000
34,30.000000,9.000000,49866.125235,11765.000000
34,30.000000,12.000000,35528.249549,6074.000000
34,30.000000,15.000000,39265.307792,12342.000000
34,30.000000,18.000000,33669.286212,6155.000000
