Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
34,4.073000,262144.000000,101582.084784,76903.000000
34,4.639000,32768.000000,255152.091108,158756.000000
34,5.649000,4096.000000,118198.506188,53485.000000
34,7.918000,512.000000,47691.771974,26904.000000
34,16.772000,64.000000,48444.956900,14671.000000
34,30.000000,6.000000,45425.384412,12832.000000
34,30.000000,9.000000,49963.406719,15059.000000
34,30.000000,12.000000,36327.776632,9533.000000
34,30.000000,15.000000,40431.802990,10212.000000
34,30.000000,18.000000,51795.067227,13413.000000
