Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
36,4.073000,262144.000000,269666.597804,246596.000000
36,4.639000,32768.000000,280491.671629,225872.000000
36,5.649000,4096.000000,58888.599134,39270.000000
36,7.918000,512.000000,32093.108918,9322.000000
36,16.772000,64.000000,21470.551250,4617.000000
36,30.000000,6.000000,27376.110005,8644.000000
36,30.000000,9.000000,27536.776500,4620.000000
36,30.000000,12.000000,24700.108785,4862.000000
36,30.000000,15.000000,22965.203113,4453.000000
36,30.000000,18.000000,35340.761098,11663.000000
