Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
28,4.073000,262144.000000,148981.191296,127963.000000
28,4.639000,32768.000000,153898.752945,82088.000000
28,5.649000,4096.000000,346706.067720,237531.000000
28,7.918000,512.000000,1388177.711170,301086.000000
28,16.772000,64.000000,3551563.396715,297346.000000
28,30.000000,6.000000,3373762.632957,272710.000000
28,30.000000,9.000000,3577386.815980,285097.000000
28,30.000000,12.000000,3270169.262105,298613.000000
28,30.000000,15.000000,3061945.571978,296210.000000
28,30.000000,18.000000,3583279.819630,297141.000000
