Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
32,4.073000,262144.000000,72940.663919,40266.000000
32,4.639000,32768.000000,261082.917268,228786.000000
32,5.649000,4096.000000,119449.206791,72726.000000
32,7.918000,512.000000,220455.228319,115263.000000
32,16.772000,64.000000,109444.944927,40655.000000
32,30.000000,6.000000,77865.031234,14826.000000
32,30.000000,9.000000,112276.442752,46689.000000
32,30.000000,12.000000,66076.247828,16171.000000
32,30.000000,15.000000,96901.187991,31316.000000
32,30.000000,18.000000,73935.844453,20614.000000
