Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
30,4.073000,262144.000000,95948.127652,70085.000000
30,4.639000,32768.000000,65254.515874,36100.000000
30,5.649000,4096.000000,248382.854509,166660.000000
30,7.918000,512.000000,379798.536056,183010.000000
30,16.772000,64.000000,1470419.903925,263132.000000
30,30.000000,6.000000,2201477.195022,283192.000000
30,30.000000,9.000000,2257995.743533,297446.000000
30,30.000000,12.000000,1383139.507181,246376.000000
30,30.000000,15.000000,2100571.376480,304812.000000
30,30.000000,18.000000,1581385.032344,283837.000000
