Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,651422.446464,220679.000000
20,4.639000,32768.000000,928335.013637,272726.000000
20,5.649000,4096.000000,1607966.745820,260363.000000
20,7.918000,512.000000,3571137.280639,288650.000000
20,16.772000,64.000000,7385450.269393,293729.000000
20,30.000000,6.000000,8429702.304192,298898.000000
20,30.000000,9.000000,7720403.366999,296474.000000
20,30.000000,12.000000,7322546.788826,300676.000000
20,30.000000,15.000000,7490580.527288,300301.000000
20,30.000000,18.000000,7121408.592678,304327.000000
