Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
20,4.073000,262144.000000,588244.403410,200377.000000
20,4.639000,32768.000000,1194617.622258,275479.000000
20,5.649000,4096.000000,1988348.431104,285197.000000
20,7.918000,512.000000,3199009.785552,275693.000000
20,16.772000,64.000000,7377992.820665,300943.000000
20,30.000000,6.000000,8493472.965102,301540.000000
20,30.000000,9.000000,7975612.117009,300244.000000
20,30.000000,12.000000,7424547.021277,301056.000000
20,30.000000,15.000000,7527944.805427,303105.000000
20,30.000000,18.000000,7294669.829077,305186.000000
