Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
22,4.073000,262144.000000,375079.272960,210881.000000
22,4.639000,32768.000000,617169.585471,239657.000000
22,5.649000,4096.000000,1643667.431995,282937.000000
22,7.918000,512.000000,2958356.273312,304558.000000
22,16.772000,64.000000,6282540.433165,298054.000000
22,30.000000,6.000000,7689224.020194,303667.000000
22,30.000000,9.000000,7238658.821722,302151.000000
22,30.000000,12.000000,6757176.181102,299544.000000
22,30.000000,15.000000,6651861.271448,300388.000000
22,30.000000,18.000000,6513878.455242,305796.000000
