frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16686243.06001264,1083420
4,16318602.874933075,1015055
8,16807481.79540353,1026211
16,17374185.830954786,1053676
32,16498878.647442741,1001625
64,16931174.745996363,1052589
128,16365657.586965242,1040810
256,18085954.23938383,1009272
512,18311743.114259794,1101164
1024,17514269.321982805,1027042
2048,19033377.44337226,1018950
4096,18723651.173594,1008608
8192,21662512.174967058,1079731
16384,22229060.89655105,1025448
32768,22782146.248899728,1164796
65536,27653382.894349128,1329171
