frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,15667847.246396711,1081912
4,15973946.669238664,1004862
8,16769177.771935599,950553
16,16548590.566820275,1049773
32,18004397.244127195,1042767
64,17123505.628026377,1055982
128,17625908.524334144,1008412
256,17804447.103232272,1046537
512,19246988.969533313,998526
1024,19591379.590876594,1049909
2048,19942188.97342453,1068619
4096,16703738.032503502,1007571
8192,22719842.409615897,1075043
16384,17964468.43019069,1001014
32768,22570307.17728434,1188504
65536,5014504.21101279,666212
