frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,17458712.496905692,1092057
4,15010192.477916565,1018369
8,17556207.66529153,1113038
16,17274357.86404962,1069623
32,16694114.531397974,1078857
64,16922349.289915156,990942
128,17878458.220350824,1067762
256,18102135.21626772,1031581
512,17517869.6012824,1048999
1024,18185895.164903596,1017412
2048,20575355.030971907,1064451
4096,19288855.79735737,1000752
8192,14644378.123592889,986214
16384,18587873.20537791,1022155
32768,34019305.50564946,1189931
65536,18682102.06019593,1083321
