frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16660767.639238356,1128462
4,16185469.39239956,1145911
8,17772203.343390655,1040139
16,16528447.571040088,1023224
32,17128086.720764346,1022137
64,16837728.64425618,1191026
128,18410701.533870593,1078774
256,18760471.612207033,1075120
512,18845173.161667872,1078510
1024,17426571.766641196,1040578
2048,16315169.88516868,1061064
4096,15156218.819273064,1049771
8192,26976067.00688262,1109733
16384,17092137.70484874,878332
32768,25614789.345706828,1097075
65536,20278683.842350718,1140905
