frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16131301.459936734,1113146
4,15237936.570673833,1072207
8,17502597.72008758,1096991
16,18313835.031252246,1027382
32,17590280.04555996,1078999
64,17217935.77230552,1043982
128,18641055.912688315,1009940
256,18562879.90949909,1105215
512,17840319.28012792,1059751
1024,20996034.886886597,1094131
2048,21788629.937974002,1040735
4096,16992446.298626665,987594
8192,14494742.742732415,1025381
16384,21767899.093467932,1106111
32768,17314662.955004495,1040037
65536,9039578.862952633,643477
