frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,15199838.2659102,1015968
4,16794926.879644193,1072738
8,17465579.723244432,988552
16,17150236.3136167,1150603
32,16792431.19319972,1093636
64,16621835.741998626,1007767
128,17761297.38710973,1062366
256,18691208.76213703,1049595
512,19417795.341498196,1100644
1024,17844693.41348856,1054093
2048,19509904.59805114,1153329
4096,21251259.58723694,1202140
8192,14839075.19108974,944484
16384,12259390.215582747,863413
32768,12404609.157351915,1142018
65536,36880757.69813989,950882
