frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16267179.501171032,1044412
4,16120950.551875005,1045286
8,16536013.827794412,1071328
16,16922214.740886696,1048778
32,16733921.096239697,1129592
64,17068754.262515176,962991
128,16808194.927572116,969089
256,18399011.26346685,1106829
512,17577857.82371797,1013750
1024,18657774.765439633,1025691
2048,19135463.85482393,1211883
4096,21742995.45902648,1003733
8192,22483400.240902152,1225843
16384,10930807.13816848,870769
32768,23160526.612836957,1133501
65536,8459754.065405093,728771
