frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16910292.03564622,1066543
4,17483612.63724511,1052832
8,16803805.26766012,1025641
16,16898402.163044885,1067704
32,16903910.86681606,1006810
64,16862387.91631971,949394
128,18033640.19590787,1047660
256,18587274.568396144,1149151
512,18090490.950254086,1130222
1024,17688468.434683908,1057267
2048,16256425.382727224,985707
4096,21301916.180925626,1108938
8192,15320368.84227782,990339
16384,15937046.049816133,1039830
32768,11850858.88067173,864063
65536,30057280.3584672,1483574
