frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16424320.077075977,1059215
4,16495957.740943022,1229407
8,16645703.461318659,1027693
16,16432346.624518514,1024675
32,17533633.00665943,1101846
64,17577174.63760018,1089926
128,17183065.23185849,994398
256,17289399.145380095,1116876
512,18276874.343369737,1188126
1024,18116588.310715623,1061874
2048,16176732.2328151,1139246
4096,20473990.381112766,1023743
8192,20772670.347071845,1077968
16384,18431893.558946513,1160570
32768,26881171.3818411,1046591
65536,18913292.662596352,911004
