frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,16838549.72098221,1024804
4,16498908.313000105,1054639
8,16357567.291803693,935884
16,18035156.99360546,1043837
32,17427894.237070985,1135036
64,17664628.691185784,1048867
128,17976702.765299648,1019553
256,17306747.3947719,1048387
512,18317073.304114062,983637
1024,19594783.24650801,1024419
2048,19306631.838633895,1172347
4096,16740611.348691033,997557
8192,13863439.297679996,937146
16384,16871420.194767065,1037897
32768,19792570.427861385,1036110
65536,28566995.783579744,918963
