frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
4,483584.746934,483584.746934,483584.746934,483584.746934,483584.746934,483584.746934
64,443803.422451,443803.422451,443803.422451,443803.422451,443803.422451,443803.422451
8,986640.770560,986640.770560,986640.770560,986640.770560,986640.770560,986640.770560
2048,1770951.920723,1770951.920723,1770951.920723,1770951.920723,1770951.920723,1770951.920723
32,597764.618018,597764.618018,597764.618018,597764.618018,597764.618018,597764.618018
512,1301004.771583,1301004.771583,1301004.771583,1301004.771583,1301004.771583,1301004.771583
256,913757.304702,913757.304702,913757.304702,913757.304702,913757.304702,913757.304702
2,467402.979525,467402.979525,467402.979525,467402.979525,467402.979525,467402.979525
4096,1752487.460137,1752487.460137,1752487.460137,1752487.460137,1752487.460137,1752487.460137
1024,1186130.299868,1186130.299868,1186130.299868,1186130.299868,1186130.299868,1186130.299868
128,1171513.478390,1171513.478390,1171513.478390,1171513.478390,1171513.478390,1171513.478390
16384,2479140.051409,2479140.051409,2479140.051409,2479140.051409,2479140.051409,2479140.051409
16,728194.495858,728194.495858,728194.495858,728194.495858,728194.495858,728194.495858
32768,1023437.490622,1023437.490622,1023437.490622,1023437.490622,1023437.490622,1023437.490622
8192,1750343.346439,1750343.346439,1750343.346439,1750343.346439,1750343.346439,1750343.346439
65536,3314783.720489,3314783.720489,3314783.720489,3314783.720489,3314783.720489,3314783.720489
