frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,676549.066483,676549.066483,676549.066483,676549.066483,676549.066483,676549.066483
4,462197.776713,462197.776713,462197.776713,462197.776713,462197.776713,462197.776713
16384,1603086.943508,1603086.943508,1603086.943508,1603086.943508,1603086.943508,1603086.943508
8,559576.093630,559576.093630,559576.093630,559576.093630,559576.093630,559576.093630
16,580655.986098,580655.986098,580655.986098,580655.986098,580655.986098,580655.986098
512,1234134.233750,1234134.233750,1234134.233750,1234134.233750,1234134.233750,1234134.233750
128,1006524.289786,1006524.289786,1006524.289786,1006524.289786,1006524.289786,1006524.289786
64,759545.868594,759545.868594,759545.868594,759545.868594,759545.868594,759545.868594
2,713203.678673,713203.678673,713203.678673,713203.678673,713203.678673,713203.678673
32,855954.894973,855954.894973,855954.894973,855954.894973,855954.894973,855954.894973
256,728614.277051,728614.277051,728614.277051,728614.277051,728614.277051,728614.277051
8192,1344552.088109,1344552.088109,1344552.088109,1344552.088109,1344552.088109,1344552.088109
1024,1091130.224826,1091130.224826,1091130.224826,1091130.224826,1091130.224826,1091130.224826
2048,1407538.351087,1407538.351087,1407538.351087,1407538.351087,1407538.351087,1407538.351087
32768,1764566.974423,1764566.974423,1764566.974423,1764566.974423,1764566.974423,1764566.974423
4096,1419518.998425,1419518.998425,1419518.998425,1419518.998425,1419518.998425,1419518.998425
