frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,366594.073434,31637.000000,0.000000
4,709016.330306,33540.000000,0.000000
8,854889.287213,35362.000000,0.000000
16,620633.981085,33034.000000,0.000000
32,674022.272675,31198.000000,0.000000
64,952711.080665,34434.000000,0.000000
128,954545.645642,36284.000000,0.000000
256,687053.067027,35355.000000,0.000000
512,1617180.851721,145877.000000,0.000000
1024,1010803.554851,60104.000000,0.000000
2048,2144238.604108,179210.000000,0.000000
4096,2486666.301240,184139.000000,0.000000
8192,3319449.925712,218977.000000,0.000000
16384,3958979.147184,247634.000000,0.000000
32768,1224715.141306,81719.000000,0.000000
65536,5480517.976789,264227.000000,0.000000
