frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,800005.159873,34919.000000,642.729337
4,561775.811577,32578.000000,152.190670
8,803236.193693,33974.000000,23292.367205
16,556553.757349,34889.000000,534.452056
32,678556.313793,33492.000000,5382.114083
64,1059663.832997,33507.000000,44315.229324
128,1141466.263954,34008.000000,60678.071459
256,1167607.614166,91816.000000,3678.256516
512,1378154.699878,107730.000000,116953.012462
1024,1337860.860458,104521.000000,342180.061082
2048,1367198.792050,107789.000000,322765.740577
4096,1225767.989694,45626.000000,414995.356816
8192,791050.950870,33501.000000,356444.988716
16384,2711338.222618,162562.000000,2401096.406062
32768,2566341.531491,144446.000000,2391792.475251
65536,4458990.157939,223895.000000,4362894.903196
