frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,462143.436978,30717.000000,171.309661
4,792728.063733,36767.000000,10920.000229
8,868152.347605,35392.000000,113.986841
16,1242158.959326,82479.000000,46367.647191
32,928426.850653,32101.000000,41212.808798
64,1121852.801229,47659.000000,42257.060724
128,972615.620172,31638.000000,73675.718375
256,1082649.792891,43939.000000,81441.037598
512,1015108.128319,34437.000000,70676.168388
1024,1213431.163471,86357.000000,203794.476375
2048,1058912.291337,33961.000000,184880.931091
4096,1428799.506686,139858.000000,478624.730131
8192,1112909.850475,68893.000000,694579.388229
16384,1300051.890578,85532.000000,371097.880319
32768,1110336.666371,75684.000000,384684.175801
65536,1309618.861407,117212.000000,714406.940162
