frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,730165.918745,37226.000000,0.000000
4,849608.105021,35873.000000,0.000000
8,751281.134904,37234.000000,0.000000
16,702477.638248,36294.000000,0.000000
32,1066958.345571,40014.000000,0.000000
64,912127.613750,41169.000000,0.000000
128,973435.357452,38618.000000,0.000000
256,1479233.076162,109760.000000,0.000000
512,898312.602771,46082.000000,0.000000
1024,1534863.773593,123875.000000,0.000000
2048,1113391.597107,40885.000000,0.000000
4096,983046.728696,42894.000000,0.000000
8192,1358088.963141,105917.000000,0.000000
16384,1756689.030002,147973.000000,0.000000
32768,929028.435235,38805.000000,0.000000
65536,3982004.144798,213584.000000,0.000000
