frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,402642.626509,39596.000000,1293.655673
4,590364.495608,39089.000000,15961.700191
8,720872.535078,36754.000000,14835.976914
16,969731.260037,41404.000000,8251.034299
32,1075652.926309,39081.000000,58270.656132
64,773147.798786,41911.000000,398.046480
128,1000326.087215,35452.000000,58907.404059
256,1122742.197382,74209.000000,108798.325107
512,1210246.287561,89433.000000,164359.818283
1024,1310020.379216,80732.000000,159140.719773
2048,1238549.968033,94539.000000,156977.819105
4096,1615219.468897,131177.000000,732680.489805
8192,1058740.460749,35919.000000,420819.873222
16384,1226437.000981,97041.000000,212739.050245
32768,3158858.812512,239015.000000,1982148.189028
65536,800195.538128,37927.000000,586392.272014
