frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,1008456.442249,40942.000000,0.000000
4,620672.400384,41464.000000,0.000000
8,587108.127568,47962.000000,0.000000
16,749963.573895,43748.000000,0.000000
32,905330.734120,44721.000000,0.000000
64,1385638.346284,108147.000000,0.000000
128,1385187.255724,105533.000000,0.000000
256,1253629.280670,66723.000000,0.000000
512,1137540.472734,73692.000000,0.000000
1024,883945.241407,46558.000000,0.000000
2048,1942177.136844,163187.000000,0.000000
4096,1028076.595846,42814.000000,0.000000
8192,666840.512462,42332.000000,0.000000
16384,2647244.425077,189442.000000,0.000000
32768,1392234.434315,112748.000000,0.000000
65536,4060412.982957,237392.000000,0.000000
