arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
38,8.500000,262144,22725163.536033
38,9.800000,32768,35387978.154513
38,12.400000,4096,63915528.400178
38,18.900000,512,129471196.228337
38,56.300000,64,231975000.858071
38,60.000000,12,245442964.453686
38,60.000000,18,236913326.271750
38,60.000000,24,226891512.791023
