arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
24,8.500000,262144,55364246.243901
24,9.800000,32768,71470067.574233
24,12.400000,4096,107202845.979047
24,18.900000,512,182795274.829972
24,56.300000,64,298215494.347675
24,60.000000,12,309711544.017498
24,60.000000,18,299771670.857295
24,60.000000,24,283562763.513685
