arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
40,8.500000,262144,17693338.120402
40,9.800000,32768,29702161.587637
40,12.400000,4096,59341312.046118
40,18.900000,512,121452714.298606
40,56.300000,64,219146968.818847
40,60.000000,12,237882677.685312
40,60.000000,18,228718920.523999
40,60.000000,24,216630520.629701
