arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
28,8.500000,262144,41871531.402555
28,9.800000,32768,61395854.186482
28,12.400000,4096,94056774.140730
28,18.900000,512,171290121.179551
28,56.300000,64,282644210.672395
28,60.000000,12,294781793.676018
28,60.000000,18,282259781.043295
28,60.000000,24,267424100.636040
