arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
34,8.500000,262144,28180600.833993
34,9.800000,32768,39871532.436840
34,12.400000,4096,73130982.394659
34,18.900000,512,143890995.645975
34,56.300000,64,252613578.051296
34,60.000000,12,268295736.539607
34,60.000000,18,257733778.873130
34,60.000000,24,242365867.047173
