arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
40,8.500000,262144,16977538.691209
40,9.800000,32768,29905276.897958
40,12.400000,4096,57055306.045398
40,18.900000,512,125342695.108000
40,56.300000,64,221318587.052333
40,60.000000,12,236385945.952325
40,60.000000,18,227884799.932269
40,60.000000,24,219166426.415499
