arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
20,8.500000,262144,66409806.764414
20,9.800000,32768,84167809.376801
20,12.400000,4096,120914996.840671
20,18.900000,512,198638156.569224
20,56.300000,64,313521539.728965
20,60.000000,12,324318414.811490
20,60.000000,18,313246673.780569
20,60.000000,24,297696005.830305
