arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
34,8.500000,262144,27653180.671734
34,9.800000,32768,43368795.322289
34,12.400000,4096,75150037.228510
34,18.900000,512,138535739.506703
34,56.300000,64,254665515.083341
34,60.000000,12,269439193.311766
34,60.000000,18,258232532.687206
34,60.000000,24,242234873.821856
